Hub-Height=100  Timezone=0   ASL-Height(avg. 3km-grid)=0 

 
YYYYMMDD HHMM  M(m/s) D(deg)  T(C)  De(k/m3) PRE(hPa)      RiNumber  RH(%)
20180604 0700    6.6    356   11.1    1.23    1007.0           0.34  100.0
20180604 0800    6.8    356   11.0    1.24    1007.2           0.35  100.0
20180604 0900    6.7    358   10.9    1.24    1007.4           0.39   99.6
20180604 1000    6.5    359   10.8    1.24    1007.6           0.39   98.8
20180604 1100    6.5      1   10.8    1.24    1007.7           0.30   98.0
20180604 1200    6.7      4   10.9    1.24    1007.9           0.30   97.3
20180604 1300    7.1      7   10.9    1.24    1007.8           0.29   96.4
20180604 1400    7.0      8   10.9    1.24    1007.8           0.29   96.1
20180604 1500    6.6      8   10.9    1.24    1007.8           0.28   95.7
20180604 1600    6.4     10   10.9    1.24    1007.7           0.27   95.4
20180604 1700    6.2     10   10.8    1.24    1007.6           0.26   95.1
20180604 1800    6.2     10   10.7    1.24    1007.5           0.24   94.8
20180604 1900    6.6     11   10.6    1.24    1007.5           0.16   94.3
20180604 2000    7.1     11   10.5    1.24    1007.6           0.11   94.0
20180604 2100    7.4     11   10.4    1.24    1007.7           0.05   93.6
20180604 2200    7.2      9   10.3    1.24    1007.9           0.04   93.4
20180604 2300    7.0      6   10.3    1.24    1008.1           0.04   93.3
20180605 0000    6.8      0   10.3    1.24    1008.2          -0.00   93.3
20180605 0100    6.9    360   10.3    1.24    1008.2          -0.00   92.9
20180605 0200    7.1    358   10.3    1.24    1008.2           0.03   93.1
20180605 0300    7.4    356   10.2    1.24    1008.1           0.02   93.8
20180605 0400    7.8    355   10.2    1.24    1008.1           0.02   93.4
20180605 0500    8.2    356   10.2    1.24    1008.0           0.02   90.5
20180605 0600    8.5    356   10.2    1.24    1008.0           0.03   87.7
20180605 0700    8.6    356   10.2    1.24    1008.1           0.06   86.2
20180605 0800    8.4    356   10.1    1.24    1008.1           0.01   85.8
20180605 0900    8.2    356   10.1    1.24    1008.2           0.23   83.0
20180605 1000    7.5    356   10.2    1.24    1008.2           0.33   83.3
20180605 1100    7.0    360   10.3    1.24    1008.2           0.30   83.3
20180605 1200    6.9      3   10.4    1.24    1008.2           0.36   82.1
20180605 1300    6.6      5   10.4    1.24    1008.0           0.34   81.7
20180605 1400    6.3      3   10.5    1.24    1007.8           0.36   81.4
20180605 1500    6.1      2   10.5    1.24    1007.5           0.25   80.9
20180605 1600    6.0    360   10.5    1.24    1007.2           0.28   81.6
20180605 1700    6.3    356   10.5    1.24    1007.0           0.27   81.8
20180605 1800    6.5    352   10.6    1.24    1006.7           0.23   82.3
20180605 1900    6.7    351   10.6    1.24    1006.6           0.18   82.5
20180605 2000    6.9    350   10.6    1.24    1006.5           0.13   82.7
20180605 2100    7.1    348   10.6    1.24    1006.4           0.14   83.2
20180605 2200    7.4    344   10.6    1.24    1006.3           0.17   84.6
20180605 2300    7.6    341   10.6    1.24    1006.2           0.19   86.7
20180606 0000    8.1    337   10.5    1.24    1006.1           0.19   88.8
20180606 0100    9.0    337   10.3    1.24    1005.8           0.21   90.3
20180606 0200    9.7    336   10.1    1.24    1005.7           0.22   92.5
20180606 0300    9.9    337    9.9    1.24    1005.5           0.19   95.4
20180606 0400   10.1    339    9.9    1.24    1005.4           0.21   97.0
20180606 0500   10.0    341   10.2    1.24    1005.3           0.22   97.5
20180606 0600    9.9    344   10.4    1.24    1005.2           0.26   97.1
20180606 0700    9.9    347   10.7    1.23    1005.4           0.30   95.5
20180606 0800    9.7    349   10.8    1.23    1005.5           0.34   94.6
20180606 0900    9.4    348   10.7    1.23    1005.6           0.41   94.1
20180606 1000    9.0    346   10.7    1.24    1005.7           0.42   94.0
20180606 1100    8.7    347   10.7    1.24    1005.7           0.42   93.6
20180606 1200    8.5    350   10.7    1.23    1005.8           0.41   92.9
20180606 1300    8.6    353   10.9    1.23    1005.7           0.35   91.8
20180606 1400    8.6    356   10.9    1.23    1005.6           0.32   91.4
20180606 1500    8.5    359   11.0    1.23    1005.6           0.35   90.8
20180606 1600    8.1      1   11.2    1.23    1005.5           0.42   90.3
20180606 1700    7.8      3   11.4    1.23    1005.4           0.37   90.1
20180606 1800    7.4      3   11.5    1.23    1005.3           0.33   90.0
20180606 1900    6.8      4   11.5    1.23    1005.3           0.36   90.2
20180606 2000    6.2      5   11.6    1.23    1005.4           0.37   90.1
20180606 2100    5.9      4   11.7    1.23    1005.4           0.51   90.3
20180606 2200    6.0      2   11.6    1.23    1005.5           0.51   90.9
20180606 2300    6.1      0   11.5    1.23    1005.5           0.46   91.6
20180607 0000    6.0    356   11.3    1.23    1005.6           0.38   93.0
20180607 0100    6.3    351   11.0    1.23    1005.7           0.37   92.8
20180607 0200    6.4    346   10.7    1.24    1005.8           0.41   93.3
20180607 0300    6.4    341   10.3    1.24    1005.9           0.35   94.1
20180607 0400    6.4    339   10.0    1.24    1005.9           0.31   94.7
20180607 0500    6.3    335    9.7    1.24    1006.0           0.26   95.3
20180607 0600    6.3    333    9.5    1.24    1006.1           0.21   95.4
20180607 0700    6.5    336    9.5    1.24    1006.3           0.19   95.3
20180607 0800    6.6    339    9.7    1.24    1006.5           0.27   93.9
20180607 0900    6.6    345    9.9    1.24    1006.7           0.59   93.0
20180607 1000    6.4    355   10.2    1.24    1006.8           0.61   89.0
20180607 1100    5.9      7   10.5    1.24    1006.9           1.17   85.9
20180607 1200    5.4     17   10.6    1.24    1007.0           0.97   85.7
20180607 1300    5.2     25   10.6    1.24    1006.9           0.73   87.0
20180607 1400    5.0     30   10.6    1.24    1006.9           0.37   88.6
20180607 1500    4.4     32   10.6    1.24    1006.9           0.23   89.8
20180607 1600    4.4     30   10.6    1.24    1006.9           0.27   88.8
20180607 1700    4.2     25   10.6    1.24    1006.9           0.25   89.0
20180607 1800    3.9     18   10.6    1.24    1006.9           0.20   89.1
20180607 1900    3.6     12   10.7    1.24    1006.8           0.16   89.5
20180607 2000    3.7      3   10.7    1.24    1006.9           0.15   89.7
20180607 2100    4.1    356   10.8    1.24    1006.9           0.22   89.2
20180607 2200    4.9    356   10.9    1.24    1007.0           0.26   88.9
20180607 2300    5.5    355   10.9    1.24    1007.0           0.18   90.0
20180608 0000    5.9    354   10.7    1.24    1007.1           0.19   91.5
20180608 0100    6.4    350   10.5    1.24    1007.0           0.18   93.6
20180608 0200    6.9    346   10.2    1.24    1007.0           0.16   95.9
20180608 0300    7.1    344    9.9    1.24    1007.1           0.15   98.3
20180608 0400    7.2    344    9.7    1.24    1007.1           0.14   99.7
20180608 0500    6.9    345    9.6    1.24    1007.1           0.17  100.0
20180608 0600    6.5    348    9.7    1.24    1007.2           0.19   99.9
20180608 0700    6.5    355   10.0    1.24    1007.4           0.05   95.7
20180608 0800    6.1    360    9.9    1.24    1007.6           0.24   94.1
20180608 0900    5.5      3    9.8    1.24    1007.8           0.58   93.3
20180608 1000    5.0      5    9.7    1.24    1007.9           1.57   92.4
20180608 1100    4.6     11    9.6    1.24    1007.9           0.23   92.5
20180608 1200    4.3     21    9.6    1.24    1008.0          -0.01   92.2
20180608 1300    4.4     28    9.6    1.24    1007.8          -0.57   92.3
20180608 1400    4.4     32    9.5    1.24    1007.6           0.14   92.0
20180608 1500    4.2     34    9.5    1.24    1007.3           0.85   91.9
20180608 1600    3.9     37    9.4    1.24    1007.1          -0.11   91.8
20180608 1700    3.5     40    9.4    1.24    1006.8           1.10   91.5
20180608 1800    3.0     44    9.5    1.24    1006.6           1.60   91.3
20180608 1900    2.6     49    9.5    1.24    1006.5           0.82   91.4
20180608 2000    2.1     48    9.5    1.24    1006.5           0.16   92.9
20180608 2100    1.8     40    9.5    1.24    1006.5          -0.10   93.5
20180608 2200    1.8     27    9.4    1.24    1006.5           0.56   91.8
20180608 2300    1.9     14    9.5    1.24    1006.5          -2.98   94.0
20180609 0000    1.7     36    9.9    1.24    1006.4           1.10   91.2
20180609 0100    1.9     27    9.8    1.24    1006.4           1.57   90.8
20180609 0200    2.3     18    9.7    1.24    1006.3           1.12   90.8
20180609 0300    2.7     10    9.6    1.24    1006.2           1.14   89.2
20180609 0400    2.9      6    9.5    1.24    1006.1          -0.35   91.0
