Timestamp,Windspeed,Power
01/01/2010 22:00,5.978990078,0.133617902
01/01/2010 22:10,6.776529789,0.153789403
01/01/2010 22:20,6.661459923,0.130678826
01/01/2010 22:30,6.362309933,0.114399793
01/01/2010 22:40,7.142320156,0.124470968
01/01/2010 22:50,7.854179859,0.184723294
01/01/2010 23:00,8.391289711,0.214754799
01/01/2010 23:10,8.556779861,0.202634614
01/01/2010 23:20,8.79458046,0.233418728
01/01/2010 23:30,9.537349701,0.336470992
01/01/2010 23:40,8.882450104,0.324178854
01/01/2010 23:50,9.328660011,0.348974487
02/01/2010 00:00,9.298190117,0.387136773
02/01/2010 00:10,13.7322998,0.756161549
02/01/2010 00:20,10.98289967,0.632411124
02/01/2010 00:30,9.875729561,0.532890893
02/01/2010 00:40,10.37119961,0.558700826
02/01/2010 00:50,10.60760021,0.566354277
02/01/2010 01:00,9.327320099,0.502672691
02/01/2010 01:10,8.060810089,0.349131143
02/01/2010 01:20,8.639010429,0.405043742
02/01/2010 01:30,10.4921999,0.489047973
02/01/2010 01:40,10.29870033,0.49222786
02/01/2010 01:50,10.66650009,0.618939086
02/01/2010 02:00,9.626199722,0.450480239
02/01/2010 02:10,10.09420013,0.493073907
02/01/2010 02:20,10.67669964,0.540870597
02/01/2010 02:30,11.67959976,0.697211667
02/01/2010 02:40,12.32240009,0.779355869
02/01/2010 02:50,13.01010036,0.881154165
02/01/2010 03:00,12.24860001,0.833522467
02/01/2010 03:10,12.05109978,0.790012732
02/01/2010 03:20,11.84869957,0.796892931
02/01/2010 03:30,13.04090023,0.902156682
02/01/2010 03:40,12.3508997,0.794398652
02/01/2010 03:50,11.36880016,0.708848806
02/01/2010 04:00,10.68710041,0.683600541
02/01/2010 04:10,11.89260006,0.685199796
02/01/2010 04:20,12.72599983,0.804811626
02/01/2010 04:30,11.73989964,0.704800359
02/01/2010 04:40,10.93599987,0.618423553
02/01/2010 04:50,10.44120026,0.592805611
02/01/2010 05:00,10.3295002,0.515794094
02/01/2010 05:10,10.88500023,0.575812849
02/01/2010 05:20,12.20709991,0.759757382
02/01/2010 05:30,12.98019981,0.864296054
02/01/2010 05:40,12.71070004,0.874098451
02/01/2010 05:50,12.2482996,0.806391101
02/01/2010 06:00,12.24569988,0.769978159
02/01/2010 06:10,11.69789982,0.735320279
02/01/2010 06:20,11.79749966,0.681102956
02/01/2010 06:30,11.76179981,0.716946867
02/01/2010 06:40,12.70390034,0.785434455
02/01/2010 06:50,14.01690006,0.876592597
02/01/2010 07:00,13.33139992,0.824457886
02/01/2010 07:10,12.46150017,0.747643719
02/01/2010 07:20,11.54850006,0.73931192
02/01/2010 07:30,11.84990025,0.633616603
02/01/2010 07:40,11.54629993,0.652672193
02/01/2010 07:50,11.76010036,0.708789021
02/01/2010 08:00,12.23219967,0.675196364
02/01/2010 08:10,11.27569962,0.550071259
02/01/2010 08:20,11.56239986,0.540176014
02/01/2010 08:30,10.73149967,0.511751297
02/01/2010 08:40,10.40820026,0.451013276
02/01/2010 08:50,10.03730011,0.41201257
02/01/2010 09:00,10.30360031,0.389819344
02/01/2010 09:10,10.31099987,0.419136165
02/01/2010 09:20,9.97303009,0.380674362
02/01/2010 09:30,9.62804985,0.349467916
02/01/2010 09:40,8.871589661,0.273222656
02/01/2010 09:50,8.641619682,0.270676966
02/01/2010 10:00,9.22329998,0.350393569
02/01/2010 10:10,8.67868042,0.286836108
02/01/2010 10:20,8.443610191,0.253903343
02/01/2010 10:30,8.741999626,0.295140135
02/01/2010 10:40,9.50592041,0.285902925
02/01/2010 10:50,9.3167696,0.311584782
02/01/2010 11:00,10.03800011,0.335877751
02/01/2010 11:10,9.613140106,0.346139613
02/01/2010 11:20,10.41279984,0.454358479
